"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"1",4,4,2,4,4,2,1.36921e-11,1.36921e-11,1.08944e-11,20.4329503874497
"2",1,5,4,1,5,4,1.49118e-11,1.49118e-11,1.56606e-11,5.02152657626849
"3",1,0,9,1,0,9,1.59727e-11,1.59727e-11,1.75192e-11,9.68214516017958
"4",7,0,3,7,0,3,1.39837e-11,1.39837e-11,1.41285e-11,1.03549132203924
"5",6,4,0,6,4,0,1.06142e-11,1.06142e-11,1.02475e-11,3.45480582615741
"6",4,6,0,4,6,0,1.11248e-11,1.11248e-11,1.27071e-11,14.2231770458795
"7",3,0,7,3,0,7,1.56872e-11,1.56872e-11,1.51778e-11,3.24723341322861
"8",0,0,10,0,0,10,1.75192e-11,1.75192e-11,1.59727e-11,8.82745787478881
"9",0,10,0,0,10,0,1.22397e-11,1.22397e-11,1.36568e-11,11.5778981510985
"11",5,0,5,5,0,5,1.50718e-11,1.50718e-11,1.5138e-11,0.43923088151383
"12",2,8,0,2,8,0,1.14264e-11,1.14264e-11,1.1482e-11,0.48659245256597
"16",0,9,1,0,9,1,1.36568e-11,1.36568e-11,1.22397e-11,10.3765157284283
"17",5,2,3,5,2,3,1.42078e-11,1.42078e-11,1.41285e-11,0.558144118019677
"18",10,0,0,10,0,0,8.07704e-12,8.07704e-12,9.75145e-12,20.7304903776631
"20",0,6,4,0,6,4,1.56606e-11,1.56606e-11,1.49118e-11,4.78142599900389
"21",0,8,2,0,8,2,1.46272e-11,1.46272e-11,1.36568e-11,6.6342157077226
"24",0,4,6,0,4,6,1.62974e-11,1.62974e-11,1.64925e-11,1.19712346754699
"27",4,5,1,4,5,1,1.27071e-11,1.27071e-11,1.11248e-11,12.4520937113897
"32",2,3,5,2,3,5,1.52233e-11,1.52233e-11,1.64925e-11,8.33721991946557
"33",3,2,5,3,2,5,1.51778e-11,1.51778e-11,1.56872e-11,3.35621763364915
"34",5,3,2,5,3,2,1.35862e-11,1.35862e-11,9.75145e-12,28.2253315864627
"35",6,0,4,6,0,4,1.46055e-11,1.46055e-11,1.39837e-11,4.25730033206668
"38",7,3,0,7,3,0,1.02475e-11,1.02475e-11,1.35862e-11,32.5806294218102
"43",0,1,9,0,1,9,1.67291e-11,1.67291e-11,1.75192e-11,4.72290798668189
"50",8,2,0,8,2,0,9.75145e-12,9.75145e-12,1.35862e-11,39.3249209091981
"53",8,0,2,8,0,2,1.30814e-11,1.30814e-11,1.42078e-11,8.6106991606403
"57",6,1,3,6,1,3,1.41285e-11,1.41285e-11,1.39837e-11,1.02487879109602
"59",1,9,0,1,9,0,1.1482e-11,1.1482e-11,1.22397e-11,6.59902456018115
"65",4,1,5,4,1,5,1.5138e-11,1.5138e-11,1.5428e-11,1.91570881226053
"68",2,4,4,2,4,4,1.48776e-11,1.48776e-11,1.48776e-11,0
"78",0,5,5,0,5,5,1.59867e-11,1.59867e-11,1.48776e-11,6.93764191484172
"80",3,7,0,3,7,0,1.12854e-11,1.12854e-11,1.14264e-11,1.24940188207774
"90",5,5,0,5,5,0,1.08944e-11,1.08944e-11,1.36921e-11,25.6801659568219
"91",0,3,7,0,3,7,1.64925e-11,1.64925e-11,1.52233e-11,7.69561922085798
"93",4,0,6,4,0,6,1.5428e-11,1.5428e-11,1.5138e-11,1.8796992481203
