"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"1",4,4,2,4,4,2,9.89977e-13,9.89977e-13,9.77103e-13,1.30043425251294
"2",1,5,4,1,5,4,1.00728e-12,1.00728e-12,1.31184e-12,30.2358827734096
"3",1,0,9,1,0,9,1.02278e-12,1.02278e-12,1.39695e-12,36.5836250219989
"4",7,0,3,7,0,3,9.95882e-13,9.95882e-13,1.00423e-12,0.838251921412381
"5",3,0,7,3,0,7,1.01869e-12,1.01869e-12,1.0152e-12,0.342596864600619
"6",0,10,0,0,10,0,1.00655e-12,1.00655e-12,1.11956e-12,11.2274601361085
"8",5,0,5,5,0,5,1.01047e-12,1.01047e-12,1.00423e-12,0.617534414678311
"11",0,9,1,0,9,1,1.11956e-12,1.11956e-12,1.00655e-12,10.0941441280503
"12",5,2,3,5,2,3,9.98201e-13,9.98201e-13,9.88919e-13,0.929872841241397
"13",0,6,4,0,6,4,1.31184e-12,1.31184e-12,1.00728e-12,23.2162458836443
"14",0,8,2,0,8,2,1.19232e-12,1.19232e-12,1.11956e-12,6.10238862050456
"16",0,4,6,0,4,6,1.36164e-12,1.36164e-12,1.34008e-12,1.58338474192885
"19",4,5,1,4,5,1,9.77103e-13,9.77103e-13,9.89977e-13,1.3175683628031
"22",2,3,5,2,3,5,1.01212e-12,1.01212e-12,1.01212e-12,0
"23",3,2,5,3,2,5,1.0117e-12,1.0117e-12,1.01212e-12,0.0415142828901871
"24",5,3,2,5,3,2,9.88919e-13,9.88919e-13,9.89977e-13,0.106985506396384
"25",6,0,4,6,0,4,1.00423e-12,1.00423e-12,9.95882e-13,0.831283670075589
"28",0,1,9,0,1,9,1.39695e-12,1.39695e-12,1.02278e-12,26.7847811303196
"36",8,0,2,8,0,2,9.84093e-13,9.84093e-13,9.95882e-13,1.19795588425078
"38",6,1,3,6,1,3,9.97147e-13,9.97147e-13,9.95882e-13,0.126861937106559
"43",4,1,5,4,1,5,1.01118e-12,1.01118e-12,1.01047e-12,0.0702149963409004
"45",2,4,4,2,4,4,1.00696e-12,1.00696e-12,1.00728e-12,0.03177881941685
"50",0,5,5,0,5,5,1.34008e-12,1.34008e-12,1.00728e-12,24.8343382484628
"57",0,3,7,0,3,7,1.37783e-12,1.37783e-12,1.36164e-12,1.17503610750237
"58",4,0,6,4,0,6,1.0152e-12,1.0152e-12,1.01869e-12,0.34377462568953
